date,ghi_kwh_m2_day,temp_c,wind_ms,temp_derate,yield_kwh
2023-01-01,3.7085,14.48,2.95,1.0,15.040027777777778
2023-01-02,3.6461,14.12,1.72,1.0,14.786961111111111
2023-01-03,3.4721,12.6,2.04,1.0,14.081294444444445
2023-01-04,3.7234,12.81,1.57,1.0,15.100455555555554
2023-01-05,3.9214,11.98,2.28,1.0,15.903455555555556
2023-01-06,3.5482,11.38,2.82,1.0,14.389922222222221
2023-01-07,2.3604,12.97,2.45,1.0,9.572733333333332
2023-01-08,2.6647,14.08,1.96,1.0,10.806838888888887
2023-01-09,2.6016,13.91,2.28,1.0,10.550933333333333
2023-01-10,3.2926,15.09,2.15,1.0,13.353322222222223
2023-01-11,3.0425,16.86,2.62,1.0,12.33902777777778
2023-01-12,2.9614,14.41,3.4,1.0,12.01012222222222
2023-01-13,4.236,10.85,4.12,1.0,17.179333333333332
2023-01-14,4.321,9.52,2.11,1.0,17.524055555555552
2023-01-15,4.3274,10.53,2.77,1.0,17.55001111111111
2023-01-16,4.4054,10.72,1.62,1.0,17.866344444444444
2023-01-17,4.211,12.33,1.85,1.0,17.077944444444444
2023-01-18,2.5618,11.16,2.71,1.0,10.38952222222222
2023-01-19,1.3454,12.26,2.25,1.0,5.4563444444444436
2023-01-20,3.2102,12.61,2.56,1.0,13.019144444444443
2023-01-21,3.6036,12.66,2.46,1.0,14.6146
2023-01-22,3.726,12.35,2.3,1.0,15.110999999999999
2023-01-23,3.3398,11.61,3.83,1.0,13.544744444444444
2023-01-24,3.7258,11.87,2.92,1.0,15.11018888888889
2023-01-25,4.2958,13.0,1.2,1.0,17.421855555555553
2023-01-26,4.2089,10.79,2.81,1.0,17.069427777777776
2023-01-27,4.4705,12.74,2.02,1.0,18.13036111111111
2023-01-28,4.2564,14.05,2.05,1.0,17.262066666666666
2023-01-29,2.9964,13.75,2.36,1.0,12.152066666666666
2023-01-30,3.757,13.75,2.92,1.0,15.236722222222221
2023-01-31,3.5294,13.89,2.81,1.0,14.313677777777777
2023-02-01,4.3843,15.93,1.64,1.0,17.780772222222218
2023-02-02,4.3241,16.96,2.5,1.0,17.536627777777777
2023-02-03,4.2456,18.42,2.59,1.0,17.218266666666665
2023-02-04,4.4206,19.48,1.31,1.0,17.92798888888889
2023-02-05,4.1412,19.98,2.32,1.0,16.794866666666667
2023-02-06,4.5144,17.93,3.62,1.0,18.308400000000002
2023-02-07,4.739,17.69,2.01,1.0,19.219277777777776
2023-02-08,3.6156,19.5,2.45,1.0,14.663266666666667
2023-02-09,4.0927,19.75,2.87,1.0,16.59817222222222
2023-02-10,4.0087,18.99,2.85,1.0,16.257505555555554
2023-02-11,5.0338,17.31,2.51,1.0,20.414855555555555
2023-02-12,5.3957,14.11,3.41,1.0,21.88256111111111
2023-02-13,4.7753,15.96,3.02,1.0,19.366494444444445
2023-02-14,4.2271,20.07,1.98,1.0,17.143238888888888
