date,ghi_kwh_m2_day,temp_c,wind_ms
2023-01-01,4.0673,22.19,3.43
2023-01-02,3.8282,22.6,2.87
2023-01-03,3.1186,22.6,3.47
2023-01-04,3.6919,22.62,4.62
2023-01-05,3.1243,22.79,4.54
2023-01-06,1.7717,22.34,4.86
2023-01-07,1.0553,21.18,4.11
2023-01-08,3.5885,21.36,3.34
2023-01-09,3.5189,21.56,2.82
2023-01-10,2.8992,22.6,6.73
2023-01-11,3.2134,21.22,6.02
2023-01-12,4.1626,20.71,4.49
2023-01-13,3.9946,19.54,4.82
2023-01-14,4.0082,19.97,4.72
2023-01-15,3.2347,20.89,3.62
2023-01-16,4.0812,22.15,3.32
2023-01-17,3.2878,23.11,3.46
2023-01-18,3.5551,21.5,7.79
2023-01-19,3.9098,20.96,5.12
2023-01-20,4.3063,20.78,2.42
2023-01-21,4.0474,20.3,3.73
2023-01-22,4.2754,20.06,3.63
2023-01-23,2.6184,20.42,3.46
2023-01-24,3.9396,19.88,4.74
2023-01-25,2.2541,20.01,4.31
2023-01-26,1.4911,18.35,5.32
2023-01-27,1.2734,18.55,5.34
2023-01-28,4.3699,18.41,4.49
2023-01-29,4.6094,19.24,2.68
2023-01-30,4.5986,19.1,2.23
2023-01-31,4.6994,20.07,2.67
2023-02-01,4.5266,20.63,5.37
2023-02-02,4.0769,21.24,4.29
2023-02-03,4.3212,21.31,3.92
2023-02-04,4.536,20.23,4.63
2023-02-05,4.4542,20.07,4.32
2023-02-06,4.7304,21.51,1.75
2023-02-07,4.7801,23.08,3.64
2023-02-08,4.4767,22.09,6.59
2023-02-09,5.171,20.41,9.08
2023-02-10,5.0208,19.02,8.76
2023-02-11,4.9183,19.95,3.42
2023-02-12,5.0412,21.04,2.65
2023-02-13,5.0597,22.75,3.85
2023-02-14,5.1727,23.34,4.12
2023-02-15,5.3654,23.88,4.31
2023-02-16,5.2673,22.37,5.34
2023-02-17,5.2171,21.64,3.69
2023-02-18,5.3882,20.91,5.78
2023-02-19,5.1509,20.54,6.7
2023-02-20,5.2421,20.49,6.37
2023-02-21,5.0618,20.34,5.28
2023-02-22,4.6574,20.99,3.98
2023-02-23,5.1228,21.97,2.68
2023-02-24,5.4941,24.35,3.09
2023-02-25,5.2361,23.9,4.58
2023-02-26,5.2558,24.6,4.26
2023-02-27,4.7218,24.85,3.57
2023-02-28,5.0011,24.73,3.45
2023-03-01,4.3322,23.01,2.92
2023-03-02,4.1712,23.43,2.59
2023-03-03,5.5601,23.49,2.85
2023-03-04,5.5778,22.68,2.74
2023-03-05,5.7367,22.87,2.52
2023-03-06,5.8666,23.47,3.06
2023-03-07,5.9141,23.71,2.61
2023-03-08,5.4816,24.98,3.08
2023-03-09,5.6606,27.11,3.3
2023-03-10,4.1023,26.29,4.25
2023-03-11,5.814,25.49,3.02
2023-03-12,5.8584,26.33,2.94
2023-03-13,3.5136,25.16,4.57
2023-03-14,5.4413,24.89,2.92
2023-03-15,5.7379,25.13,2.07
2023-03-16,6.1339,25.38,2.8
2023-03-17,6.5954,24.15,6.01
2023-03-18,6.5215,23.01,5.73
2023-03-19,5.3158,23.35,4.07
2023-03-20,6.0166,24.77,3.2
2023-03-21,4.1558,25.91,4.73
2023-03-22,6.7838,22.96,7.24
2023-03-23,6.5134,22.33,7.75
2023-03-24,6.4615,22.12,4.65
2023-03-25,6.3038,22.64,2.2
2023-03-26,6.1886,24.16,2.53
2023-03-27,5.2882,25.86,3.38
2023-03-28,5.9086,24.77,5.62
2023-03-29,6.7104,23.46,7.74
2023-03-30,6.7356,22.87,4.9
2023-03-31,6.0216,23.54,3.1
2023-04-01,6.4226,24.21,4.6
2023-04-02,5.7881,22.59,8.37
2023-04-03,7.3066,22.03,9.19
2023-04-04,6.9497,22.65,6.99
2023-04-05,6.4406,22.69,3.31
2023-04-06,6.696,23.23,3.21
2023-04-07,6.9019,24.15,3.89
2023-04-08,5.7612,24.48,3.85
2023-04-09,6.7073,25.04,2.25
2023-04-10,6.1627,25.33,3.08
2023-04-11,5.7617,26.23,3.21
2023-04-12,6.2119,27.87,3.37
2023-04-13,4.7143,29.08,4.64
2023-04-14,5.4082,26.93,4.27
2023-04-15,6.5474,25.29,6.8
2023-04-16,6.1819,24.75,6.15
2023-04-17,6.4001,25.22,6.13
2023-04-18,6.6091,25.27,3.95
2023-04-19,6.5544,24.95,2.94
2023-04-20,6.4817,24.99,3.46
2023-04-21,6.9098,26.03,3.34
2023-04-22,6.9643,27.12,2.18
2023-04-23,5.4946,26.71,2.79
2023-04-24,6.461,27.61,3.23
2023-04-25,6.9098,29.21,2.57
2023-04-26,5.838,28.18,3.82
2023-04-27,6.5294,27.17,3.85
2023-04-28,7.2446,26.46,4.22
2023-04-29,7.3114,27.18,3.18
2023-04-30,7.2962,28.63,2.86
2023-05-01,7.1455,28.88,3.88
2023-05-02,7.4436,27.97,5.19
2023-05-03,7.8413,27.26,6.12
2023-05-04,7.609,27.07,4.79
2023-05-05,7.4681,26.89,3.49
2023-05-06,7.4676,27.12,2.38
2023-05-07,7.1993,27.88,2.18
2023-05-08,7.1582,28.83,2.3
2023-05-09,6.6358,30.53,3.89
2023-05-10,7.2931,31.39,3.29
2023-05-11,7.0699,31.13,3.68
2023-05-12,6.7766,30.4,3.68
2023-05-13,7.0274,30.33,4.72
2023-05-14,7.4986,30.58,5.42
2023-05-15,7.7712,29.84,6.51
2023-05-16,6.497,29.6,6.67
2023-05-17,7.229,30.79,5.07
2023-05-18,6.169,31.53,2.94
2023-05-19,6.8983,31.54,3.08
2023-05-20,6.5894,32.13,3.37
2023-05-21,4.901,31.87,2.75
2023-05-22,4.4638,31.83,2.64
2023-05-23,6.5513,31.71,3.09
2023-05-24,6.4308,31.84,2.68
2023-05-25,6.5213,31.8,3.42
2023-05-26,7.0762,31.97,4.86
2023-05-27,7.2245,32.18,5.62
2023-05-28,7.009,31.46,5.52
2023-05-29,6.7865,31.43,3.66
2023-05-30,6.5047,32.52,3.11
2023-05-31,6.7106,32.37,4.11
2023-06-01,6.7248,31.99,6.44
2023-06-02,6.8088,31.49,7.24
2023-06-03,6.817,31.65,3.83
2023-06-04,6.977,32.48,3.23
2023-06-05,7.1765,33.52,4.71
2023-06-06,7.4774,34.11,4.24
2023-06-07,7.5374,32.91,3.16
2023-06-08,6.9002,32.51,4.1
2023-06-09,7.2907,33.67,3.36
2023-06-10,7.3555,33.08,3.02
2023-06-11,6.9269,33.72,2.8
2023-06-12,6.9187,34.3,2.91
2023-06-13,6.5386,34.6,4.99
2023-06-14,7.099,34.61,7.37
2023-06-15,6.8105,33.78,4.32
2023-06-16,7.0524,33.18,4.63
2023-06-17,7.2326,32.96,5.78
2023-06-18,7.0553,32.69,3.4
2023-06-19,6.311,33.17,2.53
2023-06-20,6.7687,34.09,2.5
2023-06-21,7.1489,34.04,3.72
2023-06-22,6.72,33.83,4.51
2023-06-23,6.7104,33.56,4.39
2023-06-24,6.5237,33.61,5.19
2023-06-25,6.7548,33.0,4.62
2023-06-26,6.3449,33.62,3.21
2023-06-27,5.7979,35.61,2.77
2023-06-28,5.8747,35.64,3.92
2023-06-29,5.9304,34.57,2.41
2023-06-30,6.7214,33.97,3.71
2023-07-01,7.5396,33.91,4.12
2023-07-02,7.6056,33.43,4.17
2023-07-03,6.9442,34.04,2.78
2023-07-04,6.5246,34.97,2.53
2023-07-05,6.0302,34.16,2.96
2023-07-06,6.4262,34.74,2.49
2023-07-07,6.1445,36.35,3.16
2023-07-08,6.1123,36.2,3.02
2023-07-09,6.306,35.86,3.15
2023-07-10,6.1322,36.6,3.26
2023-07-11,5.6429,36.25,3.51
2023-07-12,6.4711,35.08,3.28
2023-07-13,6.0166,35.34,3.02
2023-07-14,6.1423,37.85,3.2
2023-07-15,5.5543,37.81,4.62
2023-07-16,6.2218,37.07,4.07
2023-07-17,6.6449,35.27,3.35
2023-07-18,6.5479,35.88,2.81
2023-07-19,6.529,35.34,2.82
2023-07-20,6.139,35.66,3.82
2023-07-21,5.6146,36.78,3.28
2023-07-22,5.603,36.48,4.73
2023-07-23,6.3418,37.03,3.74
2023-07-24,5.6227,36.52,3.11
2023-07-25,5.7254,36.92,2.96
2023-07-26,5.9386,38.47,4.52
2023-07-27,6.0845,37.42,4.03
2023-07-28,6.347,37.39,3.39
2023-07-29,5.7602,36.45,2.53
2023-07-30,6.1534,35.75,2.34
2023-07-31,6.2131,35.52,3.45
2023-08-01,5.9213,35.72,2.88
2023-08-02,6.6473,36.9,2.76
2023-08-03,6.6046,37.43,3.64
2023-08-04,6.2268,38.53,1.75
2023-08-05,5.8286,38.64,2.8
2023-08-06,5.7485,38.31,3.34
2023-08-07,5.4893,37.03,3.25
2023-08-08,6.0511,36.0,3.29
2023-08-09,6.3266,35.83,2.3
2023-08-10,6.2918,36.77,3.02
2023-08-11,6.0305,37.04,2.78
2023-08-12,6.0979,36.72,3.17
2023-08-13,6.3466,36.62,3.6
2023-08-14,6.2534,36.09,3.38
2023-08-15,5.844,37.06,2.61
2023-08-16,5.9134,38.66,4.13
2023-08-17,6.1505,36.46,4.35
2023-08-18,6.3542,35.58,3.83
2023-08-19,6.5532,35.12,3.1
2023-08-20,6.654,35.57,3.23
2023-08-21,6.4783,35.91,3.7
2023-08-22,6.3682,35.42,2.98
2023-08-23,6.1094,35.3,3.67
2023-08-24,6.0922,35.71,2.16
2023-08-25,6.258,36.65,2.06
2023-08-26,6.4003,36.59,3.13
2023-08-27,6.1567,36.11,2.4
2023-08-28,6.096,36.01,2.43
2023-08-29,6.3629,35.77,2.72
2023-08-30,6.4363,36.53,3.51
2023-08-31,6.2136,35.21,3.69
2023-09-01,5.7523,34.36,2.58
2023-09-02,5.569,35.37,2.66
2023-09-03,5.7636,35.63,4.02
2023-09-04,5.5663,35.59,3.86
2023-09-05,6.0542,34.57,2.59
2023-09-06,6.1534,35.34,3.56
2023-09-07,5.843,35.67,4.66
2023-09-08,5.8133,35.32,3.91
2023-09-09,6.0266,34.42,3.44
2023-09-10,5.9741,34.09,2.92
2023-09-11,6.0542,35.77,4.19
2023-09-12,5.7528,35.92,3.51
2023-09-13,5.7562,34.81,2.58
