date,ghi_kwh_m2_day,temp_c,wind_ms
2023-01-01,2.5325,12.23,2.65
2023-01-02,1.7446,11.17,2.27
2023-01-03,2.2049,13.34,3.62
2023-01-04,2.3683,15.65,5.93
2023-01-05,1.4299,15.36,3.07
2023-01-06,1.3478,11.48,3.64
2023-01-07,2.5517,12.75,1.51
2023-01-08,3.4169,12.52,2.34
2023-01-09,3.1471,14.44,5.64
2023-01-10,3.8179,14.33,5.32
2023-01-11,2.9201,9.82,3.55
2023-01-12,3.2849,10.65,2.87
2023-01-13,3.5899,11.12,3.62
2023-01-14,2.5229,14.63,5.55
2023-01-15,3.3677,16.37,3.57
2023-01-16,3.623,16.27,4.31
2023-01-17,2.8706,15.46,5.67
2023-01-18,4.86,10.44,4.51
2023-01-19,5.119,10.06,3.77
2023-01-20,4.9774,10.9,2.06
2023-01-21,4.6975,12.42,3.06
2023-01-22,4.1491,13.34,3.27
2023-01-23,3.2035,13.9,3.0
2023-01-24,2.7276,14.5,3.29
2023-01-25,1.9505,13.94,3.32
2023-01-26,3.5818,14.07,3.19
2023-01-27,4.9642,11.6,3.13
2023-01-28,5.2918,10.2,2.23
2023-01-29,5.3623,12.52,3.22
2023-01-30,5.2157,14.42,4.7
2023-01-31,5.0234,17.22,6.13
2023-02-01,4.7527,19.15,3.65
2023-02-02,5.0484,16.97,3.03
2023-02-03,5.2147,11.96,4.47
2023-02-04,4.8833,12.74,3.58
2023-02-05,5.0366,16.16,4.13
2023-02-06,5.0302,18.37,6.65
2023-02-07,5.1098,17.56,4.97
2023-02-08,5.0786,14.37,3.1
2023-02-09,5.2478,11.81,3.99
2023-02-10,5.3863,11.81,3.35
2023-02-11,5.4314,13.08,5.13
2023-02-12,4.9416,16.94,5.58
2023-02-13,5.501,15.79,3.84
2023-02-14,5.3726,15.41,4.3
2023-02-15,5.4982,19.51,4.79
2023-02-16,4.9766,13.28,6.01
2023-02-17,4.6584,10.98,5.6
2023-02-18,5.262,10.38,4.33
2023-02-19,5.6398,11.34,3.55
2023-02-20,5.5992,13.65,1.94
2023-02-21,5.321,16.23,3.92
2023-02-22,5.9119,17.71,4.01
2023-02-23,6.0206,18.5,5.12
2023-02-24,6.0703,18.91,3.99
2023-02-25,6.0574,19.14,3.8
2023-02-26,5.9006,21.59,4.5
2023-02-27,6.0679,21.45,2.75
2023-02-28,5.8418,18.83,4.5
2023-03-01,3.918,17.2,1.91
2023-03-02,6.0307,19.66,1.55
2023-03-03,6.3094,19.69,3.69
2023-03-04,6.174,21.09,4.4
2023-03-05,6.1368,22.82,4.39
2023-03-06,6.1841,23.15,5.95
2023-03-07,5.6374,23.28,5.79
2023-03-08,5.3114,23.54,6.12
2023-03-09,5.5301,24.46,6.41
2023-03-10,5.0988,21.85,6.32
2023-03-11,5.874,19.87,4.39
2023-03-12,4.1016,19.62,3.58
2023-03-13,5.6107,21.34,3.56
2023-03-14,5.9191,22.19,2.34
2023-03-15,5.5097,24.28,4.33
2023-03-16,6.4234,20.17,4.51
2023-03-17,6.3048,19.94,3.25
2023-03-18,4.0418,20.92,3.67
2023-03-19,6.8354,22.36,4.35
2023-03-20,7.2106,19.97,3.49
2023-03-21,7.3114,17.61,5.13
2023-03-22,7.0186,17.53,4.01
2023-03-23,6.9312,18.14,2.25
2023-03-24,5.9467,19.58,2.75
2023-03-25,6.3811,22.12,5.73
2023-03-26,3.671,22.66,6.26
2023-03-27,6.5035,22.0,2.28
2023-03-28,6.9684,20.51,3.08
2023-03-29,7.5547,20.23,3.31
2023-03-30,6.2878,22.74,3.99
2023-03-31,6.8455,24.49,7.03
2023-04-01,6.9718,17.74,5.41
2023-04-02,6.341,16.62,3.76
2023-04-03,7.0884,17.73,2.95
2023-04-04,7.0541,20.58,2.49
2023-04-05,6.6617,22.43,1.34
2023-04-06,6.1466,23.59,2.95
2023-04-07,4.1798,24.82,3.03
2023-04-08,5.6628,20.25,4.19
2023-04-09,7.5228,22.32,2.95
2023-04-10,6.4505,23.04,3.38
2023-04-11,6.4898,24.69,5.6
2023-04-12,6.846,27.65,6.9
2023-04-13,5.8934,24.41,4.28
2023-04-14,3.9362,21.91,3.93
2023-04-15,5.0993,20.27,2.64
2023-04-16,4.7326,20.78,3.02
2023-04-17,2.8802,22.42,2.48
2023-04-18,6.6425,24.72,2.3
2023-04-19,5.5572,22.04,2.43
2023-04-20,7.68,24.23,1.84
2023-04-21,7.5413,25.31,1.48
2023-04-22,6.5208,27.1,1.64
2023-04-23,7.2703,26.92,3.3
2023-04-24,6.9216,28.01,3.62
2023-04-25,6.9588,26.85,4.03
2023-04-26,5.2435,25.19,3.94
2023-04-27,7.6764,25.96,2.15
2023-04-28,5.7722,26.55,5.07
2023-04-29,7.2262,27.4,4.63
2023-04-30,7.7129,27.12,3.53
2023-05-01,7.8876,27.28,4.27
2023-05-02,7.4458,25.98,5.12
2023-05-03,7.3594,26.54,3.1
2023-05-04,7.2221,26.77,3.51
2023-05-05,7.3181,26.97,2.93
2023-05-06,7.511,28.76,4.08
2023-05-07,7.5677,30.84,4.84
2023-05-08,7.4813,31.71,3.85
2023-05-09,6.8062,30.68,4.91
2023-05-10,7.5065,31.24,4.22
2023-05-11,6.125,31.62,5.23
2023-05-12,7.9529,32.57,4.33
2023-05-13,7.8137,33.46,4.59
2023-05-14,7.4482,31.34,4.45
2023-05-15,6.7313,29.69,3.88
2023-05-16,6.2575,31.34,4.93
2023-05-17,7.703,32.31,6.3
2023-05-18,3.9758,31.64,5.5
2023-05-19,6.7349,29.96,6.56
2023-05-20,6.4469,31.85,3.13
2023-05-21,6.6036,30.93,4.36
2023-05-22,7.3985,32.45,3.32
2023-05-23,4.7486,32.45,4.15
2023-05-24,5.5346,32.45,3.72
2023-05-25,6.6706,33.19,1.48
2023-05-26,6.0463,33.87,1.77
2023-05-27,7.3726,33.78,2.7
2023-05-28,7.4974,34.66,3.79
2023-05-29,5.8421,33.82,1.82
2023-05-30,4.861,31.8,7.16
2023-05-31,5.9798,33.01,3.93
2023-06-01,6.7814,33.99,1.38
2023-06-02,6.937,33.39,2.81
2023-06-03,7.8689,32.95,4.61
2023-06-04,7.6262,33.86,4.65
2023-06-05,7.5691,34.24,4.43
2023-06-06,7.6474,34.14,4.59
2023-06-07,7.783,34.5,2.02
2023-06-08,8.1394,35.22,4.19
2023-06-09,8.2397,33.59,6.17
2023-06-10,8.0033,34.58,3.48
2023-06-11,7.8655,36.1,2.94
2023-06-12,7.5377,36.37,4.01
2023-06-13,8.1643,36.42,4.64
2023-06-14,8.0834,34.83,6.61
2023-06-15,7.7443,36.16,3.74
2023-06-16,7.9454,34.74,6.58
2023-06-17,8.3191,33.31,5.45
2023-06-18,8.2615,33.4,6.32
2023-06-19,8.0018,34.5,6.01
2023-06-20,7.829,34.17,5.51
2023-06-21,7.8816,34.61,4.12
2023-06-22,7.8192,34.39,2.61
2023-06-23,7.9423,35.27,2.56
2023-06-24,8.105,37.08,5.04
2023-06-25,8.1518,36.22,4.25
2023-06-26,7.9236,35.09,5.52
2023-06-27,7.7465,35.36,5.27
2023-06-28,7.9246,35.73,3.89
2023-06-29,8.1804,35.55,3.98
2023-06-30,8.1607,35.91,3.39
2023-07-01,7.9474,36.59,2.33
2023-07-02,7.8098,36.41,3.41
2023-07-03,7.7119,35.67,3.3
2023-07-04,7.7273,35.88,3.59
2023-07-05,8.1701,35.14,5.72
2023-07-06,8.0678,35.17,5.04
2023-07-07,7.7297,36.01,4.55
2023-07-08,7.8259,36.92,4.31
2023-07-09,7.9826,36.96,2.8
2023-07-10,8.1427,37.13,2.46
2023-07-11,8.0009,37.54,2.05
2023-07-12,7.6829,37.23,3.59
2023-07-13,7.0186,36.52,7.2
2023-07-14,7.9514,35.92,5.02
2023-07-15,7.675,37.02,5.63
2023-07-16,7.5905,36.77,4.12
2023-07-17,7.7998,36.99,3.37
2023-07-18,7.7506,37.67,4.69
2023-07-19,7.8634,37.52,3.9
2023-07-20,7.8048,37.26,2.93
2023-07-21,7.6193,37.67,1.91
2023-07-22,7.5641,36.95,3.08
2023-07-23,7.4186,37.32,4.48
2023-07-24,7.3058,37.34,3.68
2023-07-25,6.6811,38.21,1.88
2023-07-26,7.4834,37.95,3.93
2023-07-27,7.3548,37.49,3.34
2023-07-28,7.2924,37.67,2.99
2023-07-29,7.3243,37.53,1.79
2023-07-30,7.4558,37.78,2.72
2023-07-31,7.7237,38.17,3.41
2023-08-01,7.7587,38.05,3.52
2023-08-02,7.6051,38.09,2.99
2023-08-03,7.3322,38.72,4.33
2023-08-04,7.471,37.3,6.07
2023-08-05,7.7503,36.51,5.55
2023-08-06,7.3702,36.25,4.68
2023-08-07,7.5154,36.41,4.03
2023-08-08,7.6488,35.99,5.2
2023-08-09,7.6846,35.78,4.55
2023-08-10,7.5893,36.43,4.78
2023-08-11,7.0838,36.33,3.4
2023-08-12,7.0126,36.86,3.51
2023-08-13,6.2789,38.27,2.14
2023-08-14,6.9744,37.94,3.51
2023-08-15,7.0147,38.22,3.19
2023-08-16,7.1779,36.86,3.54
2023-08-17,6.9024,36.88,3.69
2023-08-18,6.7685,36.96,4.81
2023-08-19,6.6754,36.61,4.68
2023-08-20,5.7698,36.95,2.78
2023-08-21,6.4817,36.55,3.34
2023-08-22,7.0855,35.37,3.6
2023-08-23,7.2408,36.25,2.39
2023-08-24,7.0934,38.01,2.44
2023-08-25,7.1294,37.2,6.1
2023-08-26,7.0039,36.51,4.72
2023-08-27,7.243,36.2,3.66
2023-08-28,7.0867,36.32,2.69
2023-08-29,6.6876,37.16,3.4
2023-08-30,6.4634,37.14,5.0
2023-08-31,6.7961,34.68,4.77
2023-09-01,6.8734,34.52,4.05
2023-09-02,7.1287,34.18,3.97
2023-09-03,7.0346,33.64,4.42
2023-09-04,6.8182,34.43,1.77
2023-09-05,6.9238,35.44,1.39
2023-09-06,6.6103,36.2,2.78
2023-09-07,6.797,35.21,5.19
2023-09-08,6.725,34.98,3.8
2023-09-09,6.839,35.12,2.8
2023-09-10,6.7214,35.55,2.92
2023-09-11,6.2328,36.67,3.63
2023-09-12,6.655,35.33,3.99
2023-09-13,6.6166,35.14,3.47
2023-09-14,6.6883,35.32,3.47
2023-09-15,6.2916,33.74,4.97
2023-09-16,6.5942,33.22,3.16
2023-09-17,5.9904,34.42,2.66
2023-09-18,6.3706,34.26,3.47
2023-09-19,6.3751,33.82,3.72
2023-09-20,6.4567,32.71,4.48
2023-09-21,6.4058,32.58,4.41
2023-09-22,6.6408,34.13,2.86
2023-09-23,6.5988,33.64,4.66
2023-09-24,6.4322,32.44,3.84
2023-09-25,6.4354,33.09,2.71
2023-09-26,6.0977,33.07,2.72
2023-09-27,6.4598,32.56,2.4
2023-09-28,6.5854,31.27,4.02
2023-09-29,6.5064,32.25,2.6
2023-09-30,6.3874,31.22,3.03
2023-10-01,6.3518,29.65,2.99
2023-10-02,6.4289,30.97,2.45
2023-10-03,6.2952,32.19,2.96
2023-10-04,6.2518,32.54,3.03
2023-10-05,6.1759,32.24,4.23
2023-10-06,5.9587,30.36,3.71
2023-10-07,6.1759,30.49,3.93
2023-10-08,6.1747,30.9,4.37
2023-10-09,6.0206,30.94,3.05
2023-10-10,6.1308,29.57,2.75
2023-10-11,6.1157,30.43,2.16
2023-10-12,6.1524,30.82,1.62
2023-10-13,6.1889,29.24,3.73
2023-10-14,6.1034,29.76,3.59
2023-10-15,5.9825,29.42,3.0
2023-10-16,5.8325,29.7,3.21
2023-10-17,5.7442,28.6,2.35
2023-10-18,5.7134,27.81,4.43
2023-10-19,5.929,27.46,4.46
2023-10-20,5.9462,27.41,4.56
2023-10-21,5.4314,27.87,3.47
2023-10-22,5.2646,27.73,3.46
2023-10-23,5.4274,26.79,3.11
2023-10-24,5.345,26.91,3.66
2023-10-25,5.226,26.35,3.81
2023-10-26,4.9985,25.61,3.61
2023-10-27,4.9447,25.14,2.51
2023-10-28,5.16,24.82,2.78
2023-10-29,4.7093,24.76,2.71
2023-10-30,4.1395,25.03,2.62
2023-10-31,4.6121,25.21,2.8
2023-11-01,4.5823,26.06,3.25
2023-11-02,4.1614,25.56,3.69
