date,ghi_kwh_m2_day,temp_c,wind_ms,temp_derate,yield_kwh
2023-01-01,2.5325,12.23,2.65,1.0,10.270694444444446
2023-01-02,1.7446,11.17,2.27,1.0,7.075322222222222
2023-01-03,2.2049,13.34,3.62,1.0,8.942094444444443
2023-01-04,2.3683,15.65,5.93,1.0,9.604772222222222
2023-01-05,1.4299,15.36,3.07,1.0,5.799038888888888
2023-01-06,1.3478,11.48,3.64,1.0,5.4660777777777785
2023-01-07,2.5517,12.75,1.51,1.0,10.348561111111112
2023-01-08,3.4169,12.52,2.34,1.0,13.857427777777778
2023-01-09,3.1471,14.44,5.64,1.0,12.763238888888889
2023-01-10,3.8179,14.33,5.32,1.0,15.483705555555556
2023-01-11,2.9201,9.82,3.55,1.0,11.842627777777778
2023-01-12,3.2849,10.65,2.87,1.0,13.322094444444444
2023-01-13,3.5899,11.12,3.62,1.0,14.559038888888889
2023-01-14,2.5229,14.63,5.55,1.0,10.23176111111111
2023-01-15,3.3677,16.37,3.57,1.0,13.657894444444445
2023-01-16,3.623,16.27,4.31,1.0,14.69327777777778
2023-01-17,2.8706,15.46,5.67,1.0,11.641877777777777
2023-01-18,4.86,10.44,4.51,1.0,19.71
2023-01-19,5.119,10.06,3.77,1.0,20.760388888888887
2023-01-20,4.9774,10.9,2.06,1.0,20.186122222222224
2023-01-21,4.6975,12.42,3.06,1.0,19.05097222222222
2023-01-22,4.1491,13.34,3.27,1.0,16.826905555555555
2023-01-23,3.2035,13.9,3.0,1.0,12.991972222222222
2023-01-24,2.7276,14.5,3.29,1.0,11.061933333333332
2023-01-25,1.9505,13.94,3.32,1.0,7.9103611111111105
2023-01-26,3.5818,14.07,3.19,1.0,14.526188888888887
2023-01-27,4.9642,11.6,3.13,1.0,20.132588888888886
2023-01-28,5.2918,10.2,2.23,1.0,21.46118888888889
2023-01-29,5.3623,12.52,3.22,1.0,21.74710555555556
2023-01-30,5.2157,14.42,4.7,1.0,21.152561111111112
2023-01-31,5.0234,17.22,6.13,1.0,20.372677777777774
2023-02-01,4.7527,19.15,3.65,1.0,19.274838888888887
2023-02-02,5.0484,16.97,3.03,1.0,20.47406666666667
2023-02-03,5.2147,11.96,4.47,1.0,21.148505555555555
2023-02-04,4.8833,12.74,3.58,1.0,19.804494444444444
2023-02-05,5.0366,16.16,4.13,1.0,20.426211111111108
2023-02-06,5.0302,18.37,6.65,1.0,20.400255555555557
2023-02-07,5.1098,17.56,4.97,1.0,20.723077777777775
2023-02-08,5.0786,14.37,3.1,1.0,20.596544444444447
2023-02-09,5.2478,11.81,3.99,1.0,21.282744444444443
2023-02-10,5.3863,11.81,3.35,1.0,21.844438888888888
